student_id,name,gender,university,degree_program,year_of_study,interests,career_goal,skill_level,location,email,gpa,preferred_mentor_location,learning_preference,mentorship_goals,preferred_communication_style,languages,available_hours
S18,Student_18,Female,IIT Sri Lanka,IT,2,AI/ML,Software Engineer,Beginner,Galle,student_18@student.edu,2.7,remote_only,visual,research_guidance,structured,"English,Sinhala",4
S19,Student_19,Male,University of Peradeniya,IT,4,Software Engineering,Security Analyst,Intermediate,Kandy,student_19@student.edu,2.98,any,reading,research_guidance,formal,"English,Sinhala",6
S20,Student_20,Male,SLIIT,CS,4,Software Engineering,Data Scientist,Advanced,Kandy,student_20@student.edu,3.55,remote_only,reading,job_search,flexible,"English,Tamil",7
S21,Student_21,Male,NSBM,Cybersecurity,1,Software Engineering,Software Engineer,Beginner,Galle,student_21@student.edu,3.48,remote_only,visual,networking,structured,English,6
S22,Student_22,Male,University of Moratuwa,CS,2,Business IT,Data Scientist,Advanced,Gampaha,student_22@student.edu,3.49,same_city,reading,networking,casual,"English,Tamil",4
S23,Student_23,Female,SLIIT,CS,3,Cybersecurity,Data Scientist,Intermediate,Colombo,student_23@student.edu,2.79,any,visual,skill_development,flexible,"English,Sinhala",7
S24,Student_24,Female,SLIIT,IT,4,Cybersecurity,Lecturer,Advanced,Kandy,student_24@student.edu,2.51,any,reading,skill_development,casual,"English,Sinhala",8
S25,Student_25,Female,University of Moratuwa,IT,2,Networking,Data Scientist,Beginner,Kandy,student_25@student.edu,3.26,same_university,kinesthetic,job_search,structured,"English,Tamil",2
S26,Student_26,Male,University of Colombo,SE,4,Software Engineering,Software Engineer,Advanced,Colombo,student_26@student.edu,3.58,same_university,reading,networking,flexible,"English,Sinhala",5
S27,Student_27,Female,NSBM,IT,1,Cybersecurity,Security Analyst,Advanced,Kandy,student_27@student.edu,3.26,same_city,kinesthetic,career_guidance,casual,English,1
S28,Student_28,Male,University of Peradeniya,CS,2,AI/ML,Security Analyst,Advanced,Colombo,student_28@student.edu,2.76,remote_only,visual,skill_development,casual,"English,Sinhala",8
S29,Student_29,Male,University of Peradeniya,SE,2,AI/ML,Software Engineer,Beginner,Colombo,student_29@student.edu,2.76,same_city,kinesthetic,job_search,casual,"English,Sinhala",7
S30,Student_30,Male,University of Kelaniya,IT,2,Business IT,Security Analyst,Beginner,Kurunegala,student_30@student.edu,2.98,same_city,auditory,networking,casual,English,2
S31,Student_31,Male,University of Kelaniya,CS,1,Software Engineering,Security Analyst,Advanced,Gampaha,student_31@student.edu,3.59,remote_only,reading,skill_development,formal,English,9
S32,Student_32,Male,University of Kelaniya,SE,3,Cybersecurity,Lecturer,Beginner,Kurunegala,student_32@student.edu,3.59,same_university,auditory,career_guidance,formal,English,2
S33,Student_33,Female,University of Moratuwa,Cybersecurity,3,Data Science,Data Scientist,Advanced,Galle,student_33@student.edu,3.89,any,auditory,skill_development,flexible,"English,Sinhala",8
S34,Student_34,Male,University of Kelaniya,IT,1,AI/ML,Software Engineer,Advanced,Kandy,student_34@student.edu,2.66,same_university,reading,research_guidance,structured,"English,Tamil",7
S35,Student_35,Male,SLIIT,SE,3,Data Science,Data Scientist,Beginner,Gampaha,student_35@student.edu,2.66,same_university,reading,skill_development,structured,English,7
S36,Student_36,Male,University of Peradeniya,Cybersecurity,1,AI/ML,Lecturer,Advanced,Galle,student_36@student.edu,3.25,same_city,kinesthetic,job_search,flexible,"English,Sinhala",2
S37,Student_37,Male,University of Colombo,Cybersecurity,4,Cybersecurity,Lecturer,Advanced,Gampaha,student_37@student.edu,3.23,same_university,auditory,networking,structured,English,5
S38,Student_38,Female,University of Kelaniya,SE,1,Business IT,Lecturer,Beginner,Kandy,student_38@student.edu,3.23,same_city,reading,skill_development,structured,"English,Sinhala",1
S39,Student_39,Male,University of Peradeniya,Data Science,2,Software Engineering,Data Scientist,Advanced,Colombo,student_39@student.edu,3.25,any,kinesthetic,job_search,structured,"English,Tamil",9
S40,Student_40,Male,University of Kelaniya,SE,3,Cybersecurity,Lecturer,Beginner,Galle,student_40@student.edu,3.5,remote_only,auditory,networking,formal,English,5
S41,Student_41,Female,University of Colombo,IT,1,Software Engineering,Software Engineer,Beginner,Colombo,student_41@student.edu,2.97,same_university,auditory,research_guidance,flexible,"English,Tamil",4
S42,Student_42,Male,University of Colombo,IT,4,Data Science,Lecturer,Intermediate,Galle,student_42@student.edu,3.97,same_city,kinesthetic,research_guidance,casual,English,6
S43,Student_43,Male,IIT Sri Lanka,IT,1,AI/ML,Data Scientist,Advanced,Kurunegala,student_43@student.edu,3.21,any,reading,job_search,structured,"English,Sinhala",1
S44,Student_44,Female,University of Kelaniya,CS,3,AI/ML,Data Scientist,Beginner,Kurunegala,student_44@student.edu,2.57,any,auditory,career_guidance,structured,"English,Sinhala",6
S45,Student_45,Female,IIT Sri Lanka,IT,2,Software Engineering,Software Engineer,Beginner,Colombo,student_45@student.edu,2.68,same_city,visual,job_search,formal,"English,Tamil",3
S46,Student_46,Female,University of Moratuwa,Cybersecurity,3,Networking,Data Scientist,Advanced,Gampaha,student_46@student.edu,2.73,any,visual,networking,flexible,"English,Sinhala",4
S47,Student_47,Female,SLIIT,Cybersecurity,4,Business IT,Lecturer,Advanced,Kandy,student_47@student.edu,3.44,remote_only,visual,job_search,structured,English,4
S48,Student_48,Female,IIT Sri Lanka,Data Science,2,Business IT,Lecturer,Intermediate,Gampaha,student_48@student.edu,3.04,same_city,auditory,career_guidance,structured,"English,Tamil",1
S49,Student_49,Male,IIT Sri Lanka,IT,2,Business IT,Data Scientist,Beginner,Kurunegala,student_49@student.edu,2.92,same_university,auditory,career_guidance,casual,"English,Sinhala",9
S50,Student_50,Male,University of Colombo,Data Science,3,Networking,Lecturer,Intermediate,Colombo,student_50@student.edu,2.89,any,reading,career_guidance,formal,English,3
S51,Student_51,Female,University of Moratuwa,CS,4,Business IT,Security Analyst,Beginner,Galle,student_51@student.edu,3.99,remote_only,kinesthetic,research_guidance,flexible,English,9
S52,Student_52,Female,NSBM,IT,1,Business IT,Security Analyst,Beginner,Colombo,student_52@student.edu,2.83,same_university,reading,networking,formal,"English,Sinhala",2
S53,Student_53,Male,University of Moratuwa,Cybersecurity,3,Business IT,Data Scientist,Intermediate,Galle,student_53@student.edu,2.79,remote_only,visual,research_guidance,structured,"English,Tamil",5
S54,Student_54,Female,University of Kelaniya,SE,2,Data Science,Software Engineer,Beginner,Kurunegala,student_54@student.edu,2.56,same_city,visual,skill_development,formal,English,2
S55,Student_55,Female,NSBM,Cybersecurity,3,Data Science,Security Analyst,Beginner,Kurunegala,student_55@student.edu,3.89,same_university,reading,networking,flexible,English,2
S56,Student_56,Male,SLIIT,SE,3,Cybersecurity,Data Scientist,Advanced,Galle,student_56@student.edu,3.07,any,auditory,job_search,flexible,English,4
S57,Student_57,Male,University of Peradeniya,CS,4,Cybersecurity,Software Engineer,Beginner,Gampaha,student_57@student.edu,3.94,any,kinesthetic,career_guidance,flexible,"English,Sinhala",3
S58,Student_58,Male,IIT Sri Lanka,IT,3,Data Science,Lecturer,Beginner,Kurunegala,student_58@student.edu,2.52,same_city,reading,skill_development,structured,"English,Tamil",5
S59,Student_59,Female,University of Kelaniya,IT,3,Cybersecurity,Security Analyst,Intermediate,Kurunegala,student_59@student.edu,2.55,same_university,reading,career_guidance,flexible,"English,Sinhala",4
S60,Student_60,Female,University of Peradeniya,IT,3,Data Science,Data Scientist,Advanced,Kandy,student_60@student.edu,2.69,same_city,kinesthetic,research_guidance,flexible,English,7
S61,Student_61,Female,NSBM,CS,3,AI/ML,Security Analyst,Advanced,Galle,student_61@student.edu,3.2,remote_only,kinesthetic,networking,flexible,"English,Tamil",9
S62,Student_62,Male,University of Moratuwa,SE,3,Software Engineering,Data Scientist,Intermediate,Gampaha,student_62@student.edu,3.57,same_university,auditory,skill_development,casual,English,6
S63,Student_63,Female,University of Kelaniya,Cybersecurity,1,AI/ML,Software Engineer,Beginner,Galle,student_63@student.edu,2.57,same_university,kinesthetic,job_search,structured,English,3
S64,Student_64,Female,NSBM,IT,4,Networking,Security Analyst,Intermediate,Kandy,student_64@student.edu,3.28,same_city,reading,job_search,casual,"English,Tamil",1
S65,Student_65,Male,University of Kelaniya,CS,2,Business IT,Software Engineer,Beginner,Galle,student_65@student.edu,2.84,same_city,kinesthetic,research_guidance,formal,"English,Tamil",6
S66,Student_66,Male,IIT Sri Lanka,CS,2,Software Engineering,Software Engineer,Advanced,Colombo,student_66@student.edu,4.0,same_university,visual,career_guidance,casual,"English,Sinhala",7
S67,Student_67,Male,University of Kelaniya,CS,3,Business IT,Lecturer,Advanced,Gampaha,student_67@student.edu,3.34,remote_only,auditory,job_search,flexible,English,3
S68,Student_68,Female,IIT Sri Lanka,Cybersecurity,2,Software Engineering,Data Scientist,Advanced,Galle,student_68@student.edu,3.26,same_university,reading,skill_development,casual,English,5
S69,Student_69,Male,University of Colombo,Cybersecurity,1,Software Engineering,Data Scientist,Intermediate,Kandy,student_69@student.edu,2.87,any,reading,job_search,flexible,"English,Tamil",3
S70,Student_70,Male,NSBM,Data Science,2,Data Science,Data Scientist,Advanced,Gampaha,student_70@student.edu,3.07,same_university,auditory,job_search,formal,"English,Tamil",3
S71,Student_71,Male,IIT Sri Lanka,CS,1,Networking,Software Engineer,Advanced,Kurunegala,student_71@student.edu,2.95,remote_only,visual,research_guidance,flexible,English,6
S72,Student_72,Female,NSBM,Data Science,3,Networking,Lecturer,Beginner,Colombo,student_72@student.edu,3.77,same_university,auditory,career_guidance,casual,English,4
S73,Student_73,Male,University of Peradeniya,CS,3,Networking,Software Engineer,Intermediate,Gampaha,student_73@student.edu,3.18,any,visual,career_guidance,flexible,"English,Tamil",5
S74,Student_74,Male,NSBM,Data Science,2,Data Science,Software Engineer,Beginner,Kandy,student_74@student.edu,3.51,any,kinesthetic,skill_development,structured,English,4
S75,Student_75,Female,NSBM,Cybersecurity,4,Networking,Lecturer,Advanced,Galle,student_75@student.edu,3.15,same_university,auditory,networking,structured,English,1
S76,Student_76,Male,University of Kelaniya,Data Science,3,Software Engineering,Software Engineer,Beginner,Kurunegala,student_76@student.edu,2.72,same_university,visual,skill_development,casual,English,6
S77,Student_77,Female,NSBM,Data Science,3,AI/ML,Data Scientist,Beginner,Kandy,student_77@student.edu,3.61,remote_only,visual,job_search,structured,English,1
S78,Student_78,Female,SLIIT,Data Science,4,Software Engineering,Software Engineer,Beginner,Gampaha,student_78@student.edu,2.89,same_university,visual,job_search,formal,"English,Sinhala",5
S79,Student_79,Female,University of Peradeniya,CS,4,Data Science,Security Analyst,Advanced,Colombo,student_79@student.edu,3.41,same_city,visual,career_guidance,structured,English,8
S80,Student_80,Female,NSBM,Cybersecurity,1,Data Science,Data Scientist,Advanced,Kurunegala,student_80@student.edu,3.03,remote_only,reading,job_search,formal,"English,Sinhala",3
S81,Student_81,Female,University of Colombo,SE,4,Networking,Lecturer,Intermediate,Gampaha,student_81@student.edu,2.88,any,reading,skill_development,casual,"English,Tamil",7
S82,Student_82,Female,University of Moratuwa,IT,4,Data Science,Software Engineer,Beginner,Galle,student_82@student.edu,3.82,any,auditory,skill_development,formal,"English,Tamil",1
S83,Student_83,Female,University of Peradeniya,Cybersecurity,4,AI/ML,Software Engineer,Advanced,Kandy,student_83@student.edu,3.28,same_city,visual,networking,structured,"English,Tamil",7
S84,Student_84,Female,NSBM,Cybersecurity,4,Data Science,Data Scientist,Advanced,Colombo,student_84@student.edu,3.98,same_city,kinesthetic,networking,structured,"English,Sinhala",2
S85,Student_85,Male,SLIIT,SE,3,Cybersecurity,Software Engineer,Advanced,Colombo,student_85@student.edu,2.62,remote_only,auditory,career_guidance,casual,"English,Sinhala",4
S86,Student_86,Male,NSBM,SE,2,Data Science,Software Engineer,Beginner,Colombo,student_86@student.edu,3.22,any,auditory,networking,structured,"English,Tamil",7
S87,Student_87,Female,University of Colombo,Cybersecurity,4,Software Engineering,Security Analyst,Beginner,Gampaha,student_87@student.edu,3.83,remote_only,visual,job_search,formal,English,9
S88,Student_88,Male,University of Peradeniya,SE,4,Business IT,Software Engineer,Advanced,Kurunegala,student_88@student.edu,2.98,any,auditory,career_guidance,flexible,English,3
S89,Student_89,Male,University of Colombo,SE,3,Software Engineering,Data Scientist,Advanced,Gampaha,student_89@student.edu,2.57,remote_only,kinesthetic,job_search,casual,"English,Tamil",3
S90,Student_90,Male,University of Kelaniya,CS,3,Software Engineering,Lecturer,Beginner,Kandy,student_90@student.edu,3.98,remote_only,visual,job_search,formal,"English,Tamil",4
S91,Student_91,Male,University of Kelaniya,Cybersecurity,1,Software Engineering,Security Analyst,Beginner,Galle,student_91@student.edu,2.96,same_city,reading,job_search,formal,English,7
S92,Student_92,Female,University of Peradeniya,IT,2,AI/ML,Lecturer,Advanced,Colombo,student_92@student.edu,2.8,same_city,visual,skill_development,formal,"English,Tamil",6
S93,Student_93,Female,IIT Sri Lanka,Cybersecurity,1,Networking,Lecturer,Advanced,Kandy,student_93@student.edu,2.94,same_city,visual,skill_development,structured,English,9
S94,Student_94,Female,University of Colombo,Cybersecurity,4,AI/ML,Data Scientist,Beginner,Gampaha,student_94@student.edu,3.52,same_university,auditory,job_search,flexible,"English,Tamil",6
S95,Student_95,Male,IIT Sri Lanka,Data Science,1,Business IT,Security Analyst,Advanced,Colombo,student_95@student.edu,3.37,same_city,auditory,job_search,formal,English,8
S96,Student_96,Male,NSBM,Data Science,2,AI/ML,Software Engineer,Advanced,Colombo,student_96@student.edu,3.6,any,visual,research_guidance,structured,"English,Sinhala",1
S97,Student_97,Male,SLIIT,SE,1,AI/ML,Software Engineer,Intermediate,Colombo,student_97@student.edu,3.81,remote_only,reading,skill_development,structured,"English,Tamil",2
S98,Student_98,Female,University of Moratuwa,CS,1,AI/ML,Lecturer,Intermediate,Galle,student_98@student.edu,3.4,remote_only,visual,networking,flexible,"English,Tamil",7
S99,Student_99,Female,NSBM,Data Science,3,Software Engineering,Security Analyst,Intermediate,Colombo,student_99@student.edu,3.31,same_city,visual,skill_development,casual,"English,Tamil",8
S100,Student_100,Female,University of Moratuwa,CS,4,Business IT,Data Scientist,Intermediate,Kurunegala,student_100@student.edu,3.09,same_university,auditory,skill_development,casual,"English,Tamil",7
S101,Student_101,Female,University of Peradeniya,SE,1,Business IT,Data Scientist,Intermediate,Gampaha,student_101@student.edu,3.83,any,visual,career_guidance,casual,"English,Tamil",6
S102,Student_102,Female,NSBM,Data Science,3,Business IT,Lecturer,Beginner,Galle,student_102@student.edu,3.6,any,reading,research_guidance,structured,"English,Sinhala",3
S103,Student_103,Male,University of Kelaniya,Data Science,4,Business IT,Data Scientist,Beginner,Kurunegala,student_103@student.edu,2.7,same_university,reading,networking,structured,"English,Sinhala",3
S104,Student_104,Female,University of Moratuwa,Data Science,3,Networking,Lecturer,Beginner,Kurunegala,student_104@student.edu,2.94,same_city,auditory,networking,casual,"English,Sinhala",8
S105,Student_105,Male,NSBM,CS,3,Data Science,Data Scientist,Advanced,Gampaha,student_105@student.edu,2.94,remote_only,visual,networking,casual,English,6
S106,Student_106,Male,University of Moratuwa,IT,4,Cybersecurity,Data Scientist,Advanced,Gampaha,student_106@student.edu,2.78,same_city,auditory,networking,structured,"English,Tamil",3
S107,Student_107,Female,IIT Sri Lanka,IT,3,Networking,Lecturer,Advanced,Gampaha,student_107@student.edu,3.3,remote_only,kinesthetic,skill_development,casual,English,2
S108,Student_108,Male,University of Peradeniya,IT,1,Cybersecurity,Security Analyst,Intermediate,Galle,student_108@student.edu,3.97,remote_only,reading,career_guidance,flexible,English,4
S109,Student_109,Male,University of Colombo,Cybersecurity,1,AI/ML,Lecturer,Advanced,Colombo,student_109@student.edu,3.4,remote_only,reading,skill_development,formal,"English,Tamil",3
S110,Student_110,Male,IIT Sri Lanka,Cybersecurity,4,Data Science,Lecturer,Intermediate,Kandy,student_110@student.edu,3.1,any,auditory,skill_development,casual,"English,Sinhala",7
S111,Student_111,Male,SLIIT,SE,2,Data Science,Security Analyst,Beginner,Colombo,student_111@student.edu,2.57,same_city,visual,job_search,formal,English,9
S112,Student_112,Male,University of Kelaniya,Cybersecurity,4,Networking,Lecturer,Beginner,Galle,student_112@student.edu,3.48,same_university,reading,research_guidance,formal,English,7
S113,Student_113,Male,SLIIT,IT,4,Cybersecurity,Security Analyst,Beginner,Galle,student_113@student.edu,2.59,remote_only,auditory,research_guidance,flexible,English,9
S114,Student_114,Female,SLIIT,Cybersecurity,4,AI/ML,Data Scientist,Advanced,Gampaha,student_114@student.edu,3.9,any,visual,networking,formal,"English,Tamil",1
S115,Student_115,Female,NSBM,IT,3,AI/ML,Software Engineer,Intermediate,Kurunegala,student_115@student.edu,3.78,same_city,kinesthetic,research_guidance,flexible,"English,Tamil",6
S116,Student_116,Female,NSBM,Cybersecurity,4,Software Engineering,Software Engineer,Beginner,Kurunegala,student_116@student.edu,3.57,remote_only,visual,skill_development,formal,English,9
S117,Student_117,Female,SLIIT,SE,1,Data Science,Software Engineer,Advanced,Colombo,student_117@student.edu,2.8,same_city,reading,skill_development,casual,"English,Tamil",1
S118,Student_118,Male,University of Colombo,SE,2,Data Science,Software Engineer,Intermediate,Colombo,student_118@student.edu,2.75,same_university,kinesthetic,research_guidance,formal,English,4
S119,Student_119,Male,University of Kelaniya,Data Science,1,Networking,Security Analyst,Intermediate,Kurunegala,student_119@student.edu,2.8,any,auditory,job_search,casual,"English,Tamil",6
S120,Student_120,Female,University of Peradeniya,Cybersecurity,4,Data Science,Data Scientist,Beginner,Colombo,student_120@student.edu,2.72,remote_only,kinesthetic,research_guidance,flexible,English,6
S121,Student_121,Female,SLIIT,CS,3,Data Science,Security Analyst,Intermediate,Kurunegala,student_121@student.edu,2.92,same_university,visual,skill_development,casual,"English,Tamil",3
S122,Student_122,Female,SLIIT,SE,4,Software Engineering,Data Scientist,Intermediate,Kandy,student_122@student.edu,3.87,same_university,auditory,job_search,formal,"English,Sinhala",7
S123,Student_123,Male,NSBM,IT,2,Data Science,Security Analyst,Advanced,Colombo,student_123@student.edu,3.61,any,kinesthetic,job_search,casual,English,5
S124,Student_124,Male,NSBM,CS,3,Networking,Lecturer,Beginner,Kandy,student_124@student.edu,3.07,any,reading,networking,casual,"English,Tamil",7
S125,Student_125,Male,University of Moratuwa,IT,2,Data Science,Software Engineer,Beginner,Colombo,student_125@student.edu,2.98,same_city,visual,skill_development,flexible,English,4
S126,Student_126,Female,University of Peradeniya,CS,3,AI/ML,Data Scientist,Intermediate,Gampaha,student_126@student.edu,3.69,any,kinesthetic,skill_development,structured,"English,Tamil",5
S127,Student_127,Female,SLIIT,SE,3,Cybersecurity,Data Scientist,Advanced,Gampaha,student_127@student.edu,3.46,same_city,reading,career_guidance,casual,"English,Sinhala",3
S128,Student_128,Male,NSBM,Data Science,4,Cybersecurity,Lecturer,Intermediate,Gampaha,student_128@student.edu,3.08,remote_only,visual,job_search,casual,English,9
S129,Student_129,Female,University of Kelaniya,Data Science,4,AI/ML,Security Analyst,Beginner,Galle,student_129@student.edu,3.67,same_university,visual,job_search,formal,"English,Sinhala",1
S130,Student_130,Female,University of Colombo,CS,1,Cybersecurity,Software Engineer,Beginner,Kandy,student_130@student.edu,2.97,same_city,visual,research_guidance,formal,"English,Sinhala",5
S131,Student_131,Female,University of Colombo,Cybersecurity,3,Data Science,Data Scientist,Intermediate,Kandy,student_131@student.edu,3.61,any,kinesthetic,job_search,flexible,English,7
S132,Student_132,Male,NSBM,IT,1,Software Engineering,Lecturer,Intermediate,Gampaha,student_132@student.edu,3.44,same_university,kinesthetic,research_guidance,formal,"English,Sinhala",4
S133,Student_133,Female,SLIIT,SE,2,Networking,Data Scientist,Advanced,Galle,student_133@student.edu,2.78,same_city,visual,research_guidance,formal,"English,Sinhala",3
S134,Student_134,Female,University of Moratuwa,Data Science,1,AI/ML,Security Analyst,Advanced,Galle,student_134@student.edu,2.83,same_university,visual,job_search,casual,"English,Sinhala",4
S135,Student_135,Female,University of Peradeniya,IT,1,Cybersecurity,Lecturer,Advanced,Colombo,student_135@student.edu,3.74,any,visual,networking,casual,English,1
S136,Student_136,Female,IIT Sri Lanka,Cybersecurity,4,Business IT,Security Analyst,Beginner,Kandy,student_136@student.edu,3.87,any,reading,skill_development,structured,English,1
S137,Student_137,Female,University of Peradeniya,Data Science,3,Business IT,Security Analyst,Beginner,Gampaha,student_137@student.edu,2.63,same_university,auditory,job_search,structured,"English,Sinhala",3
S138,Student_138,Male,University of Colombo,Data Science,2,Business IT,Data Scientist,Beginner,Gampaha,student_138@student.edu,3.11,same_city,reading,job_search,formal,"English,Tamil",8
S139,Student_139,Female,University of Peradeniya,IT,2,Cybersecurity,Lecturer,Intermediate,Galle,student_139@student.edu,3.59,same_city,visual,networking,formal,"English,Tamil",3
S140,Student_140,Male,IIT Sri Lanka,Cybersecurity,1,Cybersecurity,Lecturer,Intermediate,Gampaha,student_140@student.edu,2.99,same_city,kinesthetic,career_guidance,flexible,"English,Sinhala",3
S141,Student_141,Male,SLIIT,IT,4,Software Engineering,Software Engineer,Beginner,Kandy,student_141@student.edu,3.73,same_university,reading,skill_development,flexible,"English,Tamil",6
S142,Student_142,Male,IIT Sri Lanka,SE,2,Networking,Lecturer,Beginner,Galle,student_142@student.edu,3.92,remote_only,reading,career_guidance,flexible,"English,Tamil",7
S143,Student_143,Female,SLIIT,IT,1,Cybersecurity,Lecturer,Intermediate,Kandy,student_143@student.edu,3.81,same_university,reading,research_guidance,structured,"English,Tamil",2
S144,Student_144,Male,NSBM,SE,2,Networking,Security Analyst,Beginner,Kurunegala,student_144@student.edu,2.58,same_university,auditory,research_guidance,flexible,"English,Tamil",5
S145,Student_145,Male,University of Colombo,Data Science,4,Software Engineering,Software Engineer,Advanced,Gampaha,student_145@student.edu,3.8,any,kinesthetic,skill_development,casual,English,4
S146,Student_146,Male,NSBM,SE,4,AI/ML,Security Analyst,Intermediate,Colombo,student_146@student.edu,3.44,any,auditory,job_search,structured,"English,Tamil",5
S147,Student_147,Female,University of Kelaniya,Data Science,3,Data Science,Lecturer,Intermediate,Gampaha,student_147@student.edu,2.54,same_city,visual,networking,structured,"English,Tamil",8
S148,Student_148,Female,University of Peradeniya,Cybersecurity,1,AI/ML,Software Engineer,Beginner,Kurunegala,student_148@student.edu,3.47,same_university,visual,research_guidance,casual,"English,Sinhala",8
S149,Student_149,Male,University of Colombo,IT,2,AI/ML,Security Analyst,Advanced,Kurunegala,student_149@student.edu,3.17,any,reading,networking,casual,"English,Sinhala",8
S150,Student_150,Male,University of Peradeniya,Cybersecurity,4,Data Science,Software Engineer,Intermediate,Kurunegala,student_150@student.edu,3.48,remote_only,auditory,research_guidance,formal,English,4
S151,Student_151,Male,University of Moratuwa,CS,3,AI/ML,Software Engineer,Intermediate,Gampaha,student_151@student.edu,3.21,any,visual,networking,structured,English,1
S152,Student_152,Female,University of Moratuwa,Data Science,1,Business IT,Lecturer,Intermediate,Gampaha,student_152@student.edu,2.96,same_university,visual,career_guidance,structured,English,4
S153,Student_153,Male,University of Peradeniya,CS,4,Networking,Security Analyst,Beginner,Kurunegala,student_153@student.edu,2.61,any,auditory,skill_development,flexible,"English,Sinhala",9
S154,Student_154,Male,SLIIT,CS,3,Networking,Software Engineer,Intermediate,Colombo,student_154@student.edu,2.83,remote_only,auditory,job_search,flexible,"English,Sinhala",6
S155,Student_155,Female,IIT Sri Lanka,SE,3,Software Engineering,Data Scientist,Beginner,Galle,student_155@student.edu,2.54,same_city,kinesthetic,job_search,flexible,"English,Tamil",6
S156,Student_156,Male,University of Moratuwa,IT,4,Software Engineering,Data Scientist,Advanced,Gampaha,student_156@student.edu,3.73,any,visual,research_guidance,structured,"English,Tamil",1
S157,Student_157,Male,NSBM,Cybersecurity,1,AI/ML,Software Engineer,Intermediate,Kurunegala,student_157@student.edu,3.03,same_city,auditory,networking,formal,"English,Tamil",7
S158,Student_158,Female,NSBM,CS,2,Software Engineering,Software Engineer,Advanced,Kurunegala,student_158@student.edu,3.7,remote_only,visual,job_search,formal,"English,Sinhala",2
S159,Student_159,Male,NSBM,Data Science,2,Cybersecurity,Lecturer,Intermediate,Kurunegala,student_159@student.edu,3.84,same_city,visual,career_guidance,casual,"English,Tamil",5
S160,Student_160,Female,University of Moratuwa,IT,3,Data Science,Data Scientist,Advanced,Galle,student_160@student.edu,2.6,same_university,reading,networking,structured,"English,Sinhala",3
S161,Student_161,Male,SLIIT,Cybersecurity,1,Networking,Software Engineer,Intermediate,Gampaha,student_161@student.edu,2.78,any,reading,career_guidance,formal,"English,Sinhala",6
