mentor_id,name,gender,university,industry_role,domain,experience_years,skills,location,document_score,interview_score,verification_level,email,linkedin_profile,availability_hours,mentoring_style,languages,combined_verification_score,response_rate,average_rating,mentorship_capacity,current_mentees,total_sessions,alumni_source
M15,Mentor_15,Male,University of Peradeniya,Software Engineer,Business IT,8,"Machine Learning,Cybersecurity,Data Analysis",Colombo,96.0,87.0,Bronze,mentor_15@university.edu,https://linkedin.com/in/mentor_15,5,formal,"English,Sinhala",67.44,0.91,4.04,,,,
M16,Mentor_16,Female,SLIIT,Consultant,Cybersecurity,9,"Cybersecurity,Python,Cloud Computing",Colombo,69.0,81.0,Bronze,mentor_16@university.edu,https://linkedin.com/in/mentor_16,15,formal,"English,Tamil",63.01,0.84,4.34,,,,
M17,Mentor_17,Female,University of Moratuwa,Consultant,Business IT,8,"Cloud Computing,Machine Learning,Data Analysis",Gampaha,80.0,59.0,Silver,mentor_17@university.edu,https://linkedin.com/in/mentor_17,2,flexible,"English,Tamil",91.35,0.72,3.83,,,,
M18,Mentor_18,Male,IIT Sri Lanka,Consultant,Business IT,10,"Machine Learning,Java,Data Analysis",Kurunegala,60.0,81.0,Gold,mentor_18@university.edu,https://linkedin.com/in/mentor_18,19,structured,"English,Tamil",69.3,0.97,4.63,,,,
M19,Mentor_19,Male,University of Peradeniya,Lecturer,Software Engineering,18,"Java,Machine Learning,Cloud Computing",Kurunegala,81.0,95.0,Bronze,mentor_19@university.edu,https://linkedin.com/in/mentor_19,4,casual,"English,Sinhala",87.73,0.94,4.93,,,,
M20,Mentor_20,Male,IIT Sri Lanka,Lecturer,Software Engineering,10,"Machine Learning,Data Analysis,Java",Gampaha,78.0,74.0,Silver,mentor_20@university.edu,https://linkedin.com/in/mentor_20,5,formal,English,86.21,0.98,3.52,,,,
M21,Mentor_21,Male,University of Kelaniya,Data Scientist,Business IT,16,"Python,Java,Data Analysis",Galle,77.0,79.0,Gold,mentor_21@university.edu,https://linkedin.com/in/mentor_21,12,formal,"English,Sinhala",90.85,0.8,4.27,,,,
M22,Mentor_22,Male,University of Peradeniya,Data Scientist,Data Science,18,"Data Analysis,Machine Learning,Cybersecurity",Kurunegala,80.0,59.0,Silver,mentor_22@university.edu,https://linkedin.com/in/mentor_22,3,formal,"English,Sinhala",73.15,0.95,3.66,,,,
M23,Mentor_23,Male,University of Moratuwa,Software Engineer,Cybersecurity,12,"Java,Cloud Computing,Machine Learning",Kandy,94.0,82.0,Bronze,mentor_23@university.edu,https://linkedin.com/in/mentor_23,19,formal,"English,Tamil",82.3,0.85,4.06,,,,
M24,Mentor_24,Female,University of Kelaniya,Software Engineer,Software Engineering,3,"Machine Learning,Cloud Computing,Cybersecurity",Colombo,58.0,50.0,Silver,mentor_24@university.edu,https://linkedin.com/in/mentor_24,3,structured,English,85.2,0.82,3.62,,,,
M25,Mentor_25,Female,University of Kelaniya,Lecturer,Software Engineering,15,"Cloud Computing,Python,Machine Learning",Gampaha,90.0,75.0,Bronze,mentor_25@university.edu,https://linkedin.com/in/mentor_25,4,structured,"English,Tamil",62.4,0.79,3.95,,,,
M26,Mentor_26,Female,University of Kelaniya,Lecturer,Data Science,20,"Java,Cloud Computing,Machine Learning",Kurunegala,92.0,56.0,Silver,mentor_26@university.edu,https://linkedin.com/in/mentor_26,18,flexible,"English,Tamil",91.94,0.86,4.06,,,,
M27,Mentor_27,Female,SLIIT,Consultant,Business IT,8,"Cloud Computing,Java,Data Analysis",Colombo,52.0,64.0,Gold,mentor_27@university.edu,https://linkedin.com/in/mentor_27,16,casual,"English,Tamil",67.7,0.72,4.73,,,,
M28,Mentor_28,Male,University of Peradeniya,Lecturer,Business IT,20,"Python,Data Analysis,Machine Learning",Gampaha,82.0,75.0,Bronze,mentor_28@university.edu,https://linkedin.com/in/mentor_28,14,structured,"English,Sinhala",83.12,0.87,3.92,,,,
M29,Mentor_29,Female,University of Kelaniya,Software Engineer,Cybersecurity,19,"Data Analysis,Cybersecurity,Cloud Computing",Galle,67.0,62.0,Silver,mentor_29@university.edu,https://linkedin.com/in/mentor_29,10,structured,"English,Sinhala",92.78,0.96,4.07,,,,
M30,Mentor_30,Male,University of Peradeniya,Lecturer,Networking,17,"Cloud Computing,Python,Java",Kurunegala,54.0,86.0,Silver,mentor_30@university.edu,https://linkedin.com/in/mentor_30,4,structured,English,65.23,0.76,4.46,,,,
M31,Mentor_31,Male,University of Colombo,Consultant,Networking,7,"Data Analysis,Machine Learning,Python",Galle,62.0,50.0,Bronze,mentor_31@university.edu,https://linkedin.com/in/mentor_31,4,flexible,"English,Tamil",83.87,0.77,4.64,,,,
M32,Mentor_32,Female,IIT Sri Lanka,Consultant,Business IT,7,"Cloud Computing,Python,Data Analysis",Gampaha,56.0,66.0,Silver,mentor_32@university.edu,https://linkedin.com/in/mentor_32,14,flexible,"English,Sinhala",82.8,0.92,3.74,,,,
M33,Mentor_33,Female,SLIIT,Lecturer,Software Engineering,13,"Python,Cloud Computing,Cybersecurity",Colombo,84.0,52.0,Silver,mentor_33@university.edu,https://linkedin.com/in/mentor_33,19,structured,"English,Tamil",73.75,0.81,4.98,,,,
M34,Mentor_34,Female,University of Peradeniya,Consultant,Software Engineering,14,"Data Analysis,Java,Python",Colombo,58.0,67.0,Gold,mentor_34@university.edu,https://linkedin.com/in/mentor_34,15,formal,"English,Tamil",67.97,0.77,4.49,,,,
M35,Mentor_35,Female,SLIIT,Consultant,AI/ML,10,"Python,Java,Data Analysis",Kurunegala,72.0,79.0,Silver,mentor_35@university.edu,https://linkedin.com/in/mentor_35,8,structured,"English,Sinhala",81.55,0.86,4.64,,,,
M36,Mentor_36,Male,SLIIT,Software Engineer,Data Science,14,"Cybersecurity,Data Analysis,Java",Galle,73.0,96.0,Gold,mentor_36@university.edu,https://linkedin.com/in/mentor_36,5,structured,"English,Sinhala",74.89,0.9,4.45,,,,
M37,Mentor_37,Female,University of Kelaniya,Lecturer,AI/ML,8,"Cybersecurity,Cloud Computing,Data Analysis",Kurunegala,97.0,64.0,Silver,mentor_37@university.edu,https://linkedin.com/in/mentor_37,8,flexible,"English,Sinhala",70.55,0.7,3.85,,,,
M38,Mentor_38,Female,University of Colombo,Data Scientist,Cybersecurity,5,"Cybersecurity,Python,Machine Learning",Gampaha,64.0,60.0,Silver,mentor_38@university.edu,https://linkedin.com/in/mentor_38,17,structured,"English,Sinhala",66.16,0.84,4.1,,,,
M39,Mentor_39,Female,IIT Sri Lanka,Lecturer,Data Science,17,"Java,Cloud Computing,Machine Learning",Colombo,76.0,65.0,Bronze,mentor_39@university.edu,https://linkedin.com/in/mentor_39,8,casual,"English,Sinhala",66.62,0.95,4.76,,,,
M40,Mentor_40,Female,NSBM,Lecturer,Networking,16,"Cybersecurity,Java,Python",Gampaha,60.0,67.0,Bronze,mentor_40@university.edu,https://linkedin.com/in/mentor_40,19,flexible,"English,Tamil",77.85,0.92,4.12,,,,
M41,Mentor_41,Male,University of Kelaniya,Data Scientist,Networking,7,"Cloud Computing,Python,Machine Learning",Gampaha,93.0,68.0,Bronze,mentor_41@university.edu,https://linkedin.com/in/mentor_41,9,casual,"English,Tamil",84.65,0.85,4.19,,,,
M42,Mentor_42,Male,IIT Sri Lanka,Consultant,AI/ML,7,"Cybersecurity,Java,Machine Learning",Gampaha,70.0,60.0,Silver,mentor_42@university.edu,https://linkedin.com/in/mentor_42,5,structured,English,69.03,0.98,4.62,,,,
M43,Mentor_43,Female,University of Moratuwa,Software Engineer,Software Engineering,7,"Java,Data Analysis,Cybersecurity",Gampaha,73.0,84.0,Silver,mentor_43@university.edu,https://linkedin.com/in/mentor_43,6,flexible,"English,Sinhala",68.1,0.74,4.71,,,,
M44,Mentor_44,Female,University of Moratuwa,Lecturer,Data Science,14,"Python,Data Analysis,Java",Galle,85.0,96.0,Silver,mentor_44@university.edu,https://linkedin.com/in/mentor_44,2,casual,"English,Tamil",83.8,0.9,3.86,,,,
M45,Mentor_45,Male,University of Moratuwa,Consultant,Software Engineering,10,"Java,Python,Cybersecurity",Kandy,85.0,59.0,Bronze,mentor_45@university.edu,https://linkedin.com/in/mentor_45,16,structured,"English,Tamil",68.67,0.82,3.54,,,,
M46,Mentor_46,Female,SLIIT,Lecturer,Software Engineering,18,"Data Analysis,Java,Cloud Computing",Gampaha,51.0,64.0,Silver,mentor_46@university.edu,https://linkedin.com/in/mentor_46,2,structured,"English,Tamil",78.17,0.78,3.97,,,,
M47,Mentor_47,Female,SLIIT,Consultant,Software Engineering,8,"Cloud Computing,Cybersecurity,Python",Galle,58.0,58.0,Gold,mentor_47@university.edu,https://linkedin.com/in/mentor_47,11,formal,English,63.44,0.82,3.99,,,,
M48,Mentor_48,Female,University of Peradeniya,Data Scientist,Networking,19,"Cybersecurity,Java,Data Analysis",Galle,64.0,94.0,Bronze,mentor_48@university.edu,https://linkedin.com/in/mentor_48,10,structured,English,70.6,0.9,4.34,,,,
M49,Mentor_49,Female,University of Kelaniya,Data Scientist,Cybersecurity,8,"Cloud Computing,Python,Machine Learning",Colombo,80.0,100.0,Silver,mentor_49@university.edu,https://linkedin.com/in/mentor_49,12,formal,English,63.51,0.94,4.04,,,,
M50,Mentor_50,Male,University of Kelaniya,Consultant,AI/ML,15,"Cloud Computing,Data Analysis,Python",Gampaha,92.0,65.0,Bronze,mentor_50@university.edu,https://linkedin.com/in/mentor_50,14,casual,"English,Tamil",64.38,0.86,3.9,,,,
M51,Mentor_51,Female,SLIIT,Lecturer,Networking,14,"Data Analysis,Java,Machine Learning",Galle,90.0,79.0,Silver,mentor_51@university.edu,https://linkedin.com/in/mentor_51,18,formal,"English,Tamil",63.97,0.88,4.48,,,,
M52,Mentor_52,Female,SLIIT,Software Engineer,Data Science,4,"Python,Machine Learning,Data Analysis",Colombo,69.0,97.0,Bronze,mentor_52@university.edu,https://linkedin.com/in/mentor_52,13,flexible,"English,Tamil",67.65,0.81,3.59,,,,
M53,Mentor_53,Female,University of Peradeniya,Data Scientist,Business IT,11,"Python,Data Analysis,Machine Learning",Galle,92.0,78.0,Bronze,mentor_53@university.edu,https://linkedin.com/in/mentor_53,4,structured,"English,Tamil",68.41,0.87,4.72,,,,
M54,Mentor_54,Female,University of Moratuwa,Lecturer,Software Engineering,5,"Cybersecurity,Cloud Computing,Java",Gampaha,90.0,54.0,Silver,mentor_54@university.edu,https://linkedin.com/in/mentor_54,7,structured,"English,Tamil",93.25,0.97,3.72,,,,
M55,Mentor_55,Female,University of Colombo,Consultant,Data Science,8,"Java,Machine Learning,Cybersecurity",Kandy,51.0,74.0,Silver,mentor_55@university.edu,https://linkedin.com/in/mentor_55,6,flexible,"English,Sinhala",91.08,0.96,4.17,,,,
M56,Mentor_56,Female,SLIIT,Lecturer,Data Science,17,"Python,Java,Cybersecurity",Colombo,66.0,82.0,Gold,mentor_56@university.edu,https://linkedin.com/in/mentor_56,6,flexible,"English,Sinhala",68.5,0.91,4.54,,,,
M57,Mentor_57,Female,University of Colombo,Software Engineer,Cybersecurity,2,"Machine Learning,Java,Python",Galle,81.0,73.0,Gold,mentor_57@university.edu,https://linkedin.com/in/mentor_57,14,flexible,"English,Tamil",89.22,0.77,4.48,,,,
M58,Mentor_58,Female,NSBM,Consultant,AI/ML,2,"Cybersecurity,Java,Data Analysis",Kurunegala,73.0,60.0,Bronze,mentor_58@university.edu,https://linkedin.com/in/mentor_58,6,casual,"English,Sinhala",64.73,0.93,3.56,,,,
M59,Mentor_59,Male,University of Peradeniya,Data Scientist,Software Engineering,20,"Python,Java,Machine Learning",Kurunegala,85.0,75.0,Silver,mentor_59@university.edu,https://linkedin.com/in/mentor_59,7,casual,"English,Sinhala",69.01,0.93,4.82,,,,
M60,Mentor_60,Female,NSBM,Consultant,Cybersecurity,16,"Machine Learning,Data Analysis,Java",Colombo,69.0,85.0,Bronze,mentor_60@university.edu,https://linkedin.com/in/mentor_60,4,formal,English,93.74,0.77,3.67,,,,
M61,Mentor_61,Male,SLIIT,Data Scientist,Data Science,6,"Java,Data Analysis,Cybersecurity",Kandy,79.0,70.0,Silver,mentor_61@university.edu,https://linkedin.com/in/mentor_61,4,flexible,"English,Tamil",92.65,0.72,4.74,,,,
M62,Mentor_62,Female,University of Colombo,Consultant,AI/ML,18,"Python,Cloud Computing,Java",Gampaha,98.0,61.0,Silver,mentor_62@university.edu,https://linkedin.com/in/mentor_62,15,flexible,"English,Sinhala",91.67,0.76,4.12,,,,
M63,Mentor_63,Male,University of Moratuwa,Lecturer,Networking,9,"Cloud Computing,Java,Machine Learning",Kurunegala,63.0,50.0,Silver,mentor_63@university.edu,https://linkedin.com/in/mentor_63,10,formal,"English,Sinhala",84.24,0.86,4.57,,,,
M64,Mentor_64,Male,IIT Sri Lanka,Data Scientist,AI/ML,15,"Python,Machine Learning,Data Analysis",Gampaha,85.0,97.0,Bronze,mentor_64@university.edu,https://linkedin.com/in/mentor_64,12,formal,"English,Sinhala",77.77,0.8,3.52,,,,
M65,Mentor_65,Female,NSBM,Consultant,Data Science,2,"Java,Python,Cybersecurity",Kurunegala,95.0,82.0,Silver,mentor_65@university.edu,https://linkedin.com/in/mentor_65,16,flexible,English,69.26,0.96,4.03,,,,
M66,Mentor_66,Male,IIT Sri Lanka,Software Engineer,Data Science,2,"Java,Machine Learning,Cloud Computing",Galle,63.0,79.0,Bronze,mentor_66@university.edu,https://linkedin.com/in/mentor_66,16,flexible,"English,Sinhala",68.82,0.87,4.22,,,,
M67,Mentor_67,Male,University of Colombo,Lecturer,Business IT,5,"Cloud Computing,Cybersecurity,Python",Colombo,75.0,62.0,Gold,mentor_67@university.edu,https://linkedin.com/in/mentor_67,13,casual,"English,Tamil",83.84,0.94,4.02,,,,
M68,Mentor_68,Female,IIT Sri Lanka,Lecturer,Business IT,4,"Machine Learning,Cybersecurity,Python",Gampaha,54.0,64.0,Bronze,mentor_68@university.edu,https://linkedin.com/in/mentor_68,9,flexible,English,64.42,0.8,3.79,,,,
M69,Mentor_69,Female,University of Moratuwa,Consultant,Business IT,2,"Python,Java,Cybersecurity",Kandy,62.0,60.0,Bronze,mentor_69@university.edu,https://linkedin.com/in/mentor_69,19,flexible,"English,Sinhala",78.6,0.82,4.77,,,,
M70,Mentor_70,Female,University of Moratuwa,Consultant,AI/ML,6,"Machine Learning,Data Analysis,Cloud Computing",Kurunegala,81.0,87.0,Silver,mentor_70@university.edu,https://linkedin.com/in/mentor_70,10,formal,"English,Tamil",74.18,0.94,3.94,,,,
M71,Mentor_71,Male,University of Moratuwa,Data Scientist,Software Engineering,4,"Machine Learning,Data Analysis,Python",Kurunegala,86.0,85.0,Bronze,mentor_71@university.edu,https://linkedin.com/in/mentor_71,15,flexible,"English,Tamil",61.87,0.76,3.62,,,,
M72,Mentor_72,Male,NSBM,Software Engineer,Cybersecurity,17,"Java,Python,Cloud Computing",Kandy,58.0,70.0,Gold,mentor_72@university.edu,https://linkedin.com/in/mentor_72,17,structured,English,68.18,0.89,4.72,,,,
M73,Mentor_73,Female,University of Colombo,Software Engineer,Business IT,12,"Data Analysis,Java,Cloud Computing",Kandy,55.0,71.0,Gold,mentor_73@university.edu,https://linkedin.com/in/mentor_73,7,casual,"English,Tamil",82.59,0.85,4.16,,,,
M74,Mentor_74,Female,University of Moratuwa,Lecturer,Networking,7,"Cloud Computing,Cybersecurity,Java",Kandy,100.0,80.0,Bronze,mentor_74@university.edu,https://linkedin.com/in/mentor_74,7,flexible,English,74.49,0.93,4.33,,,,
M75,Mentor_75,Female,University of Kelaniya,Consultant,Software Engineering,10,"Java,Machine Learning,Data Analysis",Kandy,99.0,86.0,Bronze,mentor_75@university.edu,https://linkedin.com/in/mentor_75,17,flexible,English,84.46,0.95,4.05,,,,
M76,Mentor_76,Male,University of Kelaniya,Data Scientist,Business IT,19,"Java,Cloud Computing,Machine Learning",Gampaha,59.0,77.0,Bronze,mentor_76@university.edu,https://linkedin.com/in/mentor_76,12,structured,"English,Sinhala",89.94,0.83,4.24,,,,
M77,Mentor_77,Male,University of Kelaniya,Lecturer,Cybersecurity,19,"Cloud Computing,Python,Cybersecurity",Kandy,67.0,90.0,Gold,mentor_77@university.edu,https://linkedin.com/in/mentor_77,7,formal,English,67.35,0.89,4.41,,,,
M78,Mentor_78,Male,University of Moratuwa,Consultant,Data Science,12,"Python,Data Analysis,Cybersecurity",Galle,67.0,95.0,Silver,mentor_78@university.edu,https://linkedin.com/in/mentor_78,9,casual,English,63.53,0.87,4.78,,,,
M79,Mentor_79,Male,University of Colombo,Consultant,Cybersecurity,20,"Python,Data Analysis,Java",Kurunegala,86.0,88.0,Bronze,mentor_79@university.edu,https://linkedin.com/in/mentor_79,5,formal,"English,Tamil",79.87,0.96,4.77,,,,
M80,Mentor_80,Female,NSBM,Data Scientist,Data Science,2,"Data Analysis,Java,Cybersecurity",Colombo,51.0,51.0,Silver,mentor_80@university.edu,https://linkedin.com/in/mentor_80,17,flexible,"English,Tamil",63.09,0.82,4.43,,,,
M81,Mentor_81,Male,University of Kelaniya,Data Scientist,Networking,10,"Python,Java,Cybersecurity",Gampaha,64.0,73.0,Bronze,mentor_81@university.edu,https://linkedin.com/in/mentor_81,14,casual,"English,Tamil",89.1,0.97,4.56,,,,
M82,Mentor_82,Male,SLIIT,Software Engineer,Cybersecurity,17,"Data Analysis,Cloud Computing,Java",Kandy,89.0,74.0,Gold,mentor_82@university.edu,https://linkedin.com/in/mentor_82,4,formal,English,69.24,0.86,3.84,,,,
M83,Mentor_83,Male,University of Kelaniya,Software Engineer,Cybersecurity,13,"Python,Java,Machine Learning",Galle,89.0,76.0,Bronze,mentor_83@university.edu,https://linkedin.com/in/mentor_83,5,casual,English,87.17,0.82,4.82,,,,
M84,Mentor_84,Female,University of Kelaniya,Software Engineer,Business IT,11,"Python,Cloud Computing,Data Analysis",Kurunegala,83.0,70.0,Gold,mentor_84@university.edu,https://linkedin.com/in/mentor_84,13,structured,English,80.12,0.73,4.73,,,,
M85,Mentor_85,Male,University of Peradeniya,Consultant,AI/ML,18,"Cybersecurity,Machine Learning,Java",Kandy,98.0,70.0,Silver,mentor_85@university.edu,https://linkedin.com/in/mentor_85,7,flexible,English,78.38,0.89,4.87,,,,
M86,Mentor_86,Female,IIT Sri Lanka,Consultant,Networking,13,"Java,Machine Learning,Cloud Computing",Gampaha,71.0,56.0,Bronze,mentor_86@university.edu,https://linkedin.com/in/mentor_86,6,flexible,"English,Sinhala",85.6,0.94,3.97,,,,
M87,Mentor_87,Female,University of Peradeniya,Consultant,Data Science,17,"Cybersecurity,Java,Data Analysis",Kandy,96.0,100.0,Gold,mentor_87@university.edu,https://linkedin.com/in/mentor_87,14,formal,English,77.07,0.71,4.96,,,,
M88,Mentor_88,Female,University of Kelaniya,Consultant,AI/ML,18,"Cloud Computing,Data Analysis,Java",Kurunegala,80.0,88.0,Bronze,mentor_88@university.edu,https://linkedin.com/in/mentor_88,12,casual,"English,Tamil",70.81,0.98,4.35,,,,
M89,Mentor_89,Female,University of Moratuwa,Lecturer,Cybersecurity,14,"Data Analysis,Cybersecurity,Python",Galle,84.0,89.0,Gold,mentor_89@university.edu,https://linkedin.com/in/mentor_89,8,formal,"English,Sinhala",60.14,0.98,4.0,,,,
M90,Mentor_90,Male,University of Colombo,Consultant,Data Science,6,"Machine Learning,Cloud Computing,Cybersecurity",Gampaha,57.0,61.0,Bronze,mentor_90@university.edu,https://linkedin.com/in/mentor_90,9,structured,"English,Sinhala",86.98,0.86,4.6,,,,
M91,Mentor_91,Female,University of Kelaniya,Consultant,Cybersecurity,3,"Cloud Computing,Python,Data Analysis",Kurunegala,57.0,85.0,Gold,mentor_91@university.edu,https://linkedin.com/in/mentor_91,17,flexible,"English,Tamil",79.63,0.79,3.6,,,,
M92,Mentor_92,Female,University of Moratuwa,Software Engineer,Business IT,4,"Python,Java,Cybersecurity",Kandy,68.0,98.0,Silver,mentor_92@university.edu,https://linkedin.com/in/mentor_92,19,formal,"English,Tamil",70.32,0.85,4.46,,,,
M93,Mentor_93,Male,University of Colombo,Data Scientist,Cybersecurity,6,"Data Analysis,Machine Learning,Cloud Computing",Colombo,90.0,90.0,Gold,mentor_93@university.edu,https://linkedin.com/in/mentor_93,5,casual,"English,Sinhala",79.13,0.94,4.11,,,,
M94,Mentor_94,Female,SLIIT,Data Scientist,Networking,20,"Cybersecurity,Cloud Computing,Machine Learning",Galle,93.0,93.0,Silver,mentor_94@university.edu,https://linkedin.com/in/mentor_94,19,structured,"English,Sinhala",73.14,1.0,4.48,,,,
M95,Mentor_95,Female,University of Colombo,Software Engineer,Networking,15,"Cloud Computing,Cybersecurity,Python",Galle,94.0,93.0,Gold,mentor_95@university.edu,https://linkedin.com/in/mentor_95,4,formal,"English,Tamil",87.04,0.85,4.88,,,,
M96,Mentor_96,Female,University of Colombo,Consultant,Software Engineering,12,"Java,Cybersecurity,Data Analysis",Galle,61.0,81.0,Silver,mentor_96@university.edu,https://linkedin.com/in/mentor_96,16,structured,"English,Tamil",84.4,1.0,3.81,,,,
M97,Mentor_97,Female,IIT Sri Lanka,Data Scientist,AI/ML,15,"Cloud Computing,Cybersecurity,Java",Kurunegala,62.0,99.0,Bronze,mentor_97@university.edu,https://linkedin.com/in/mentor_97,4,casual,"English,Tamil",93.14,0.79,4.42,,,,
M98,Mentor_98,Female,SLIIT,Lecturer,AI/ML,19,"Cloud Computing,Data Analysis,Python",Kurunegala,58.0,69.0,Silver,mentor_98@university.edu,https://linkedin.com/in/mentor_98,13,formal,"English,Tamil",78.71,0.77,4.22,,,,
M99,Mentor_99,Female,IIT Sri Lanka,Software Engineer,Software Engineering,5,"Cloud Computing,Python,Cybersecurity",Galle,76.0,92.0,Gold,mentor_99@university.edu,https://linkedin.com/in/mentor_99,10,structured,"English,Sinhala",86.2,0.76,3.54,,,,
M100,Mentor_100,Female,University of Peradeniya,Data Scientist,Business IT,7,"Java,Cloud Computing,Python",Kurunegala,100.0,96.0,Silver,mentor_100@university.edu,https://linkedin.com/in/mentor_100,7,formal,"English,Sinhala",91.81,0.92,4.96,,,,
M101,Mentor_101,Female,IIT Sri Lanka,Data Scientist,Networking,17,"Cybersecurity,Java,Cloud Computing",Kandy,79.0,53.0,Gold,mentor_101@university.edu,https://linkedin.com/in/mentor_101,16,casual,"English,Tamil",86.92,0.87,4.72,,,,
M102,Mentor_102,Male,SLIIT,Lecturer,Cybersecurity,10,"Python,Cybersecurity,Data Analysis",Kandy,99.0,75.0,Bronze,mentor_102@university.edu,https://linkedin.com/in/mentor_102,17,flexible,English,60.83,0.82,4.38,,,,
M103,Mentor_103,Male,IIT Sri Lanka,Data Scientist,AI/ML,9,"Java,Cybersecurity,Machine Learning",Gampaha,57.0,58.0,Silver,mentor_103@university.edu,https://linkedin.com/in/mentor_103,12,flexible,"English,Sinhala",78.34,0.8,4.71,,,,
M104,Mentor_104,Female,University of Peradeniya,Lecturer,Business IT,10,"Data Analysis,Java,Cloud Computing",Gampaha,77.0,54.0,Bronze,mentor_104@university.edu,https://linkedin.com/in/mentor_104,19,structured,English,79.11,0.78,3.65,,,,
M105,Mentor_105,Male,University of Kelaniya,Lecturer,Networking,17,"Python,Java,Data Analysis",Colombo,68.0,85.0,Bronze,mentor_105@university.edu,https://linkedin.com/in/mentor_105,2,casual,"English,Tamil",78.01,0.97,4.82,,,,
M106,Mentor_106,Male,University of Moratuwa,Lecturer,Cybersecurity,18,"Data Analysis,Cybersecurity,Cloud Computing",Gampaha,68.0,79.0,Bronze,mentor_106@university.edu,https://linkedin.com/in/mentor_106,19,structured,English,64.01,0.97,3.7,,,,
